P_START_LETTER,P_END_LETTER,TABLE_NAME,COLUMN_NAME,OBJECT_TYPE,DATA_TYPE,DATA_LENGTH,CHAR_LENGTH
A,B,ACA_ATTACH_MIGRATE_LOG,MIGRATE_LOG_ID,VIEW,NUMBER,22,0
A,B,ACA_ATTACH_MIGRATE_LOG,MIGRATION_TYPE,VIEW,VARCHAR2,120,30
A,B,ACA_ATTACH_MIGRATE_LOG,PK1_VALUE,VIEW,NUMBER,22,0
A,B,ACA_ATTACH_MIGRATE_LOG,PK2_VALUE,VIEW,NUMBER,22,0
A,B,ACA_ATTACH_MIGRATE_LOG,PK3_VALUE,VIEW,NUMBER,22,0
A,B,ACA_ATTACH_MIGRATE_LOG,MIGRATION_STATUS,VIEW,VARCHAR2,4,1
A,B,ACA_ATTACH_MIGRATE_LOG,JOB_ID,VIEW,NUMBER,22,0
A,B,ACA_ATTACH_MIGRATE_LOG,MESSAGE,VIEW,VARCHAR2,4000,1024
A,B,ACA_ATTACH_MIGRATE_LOG,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
A,B,ACA_ATTACH_MIGRATE_LOG,CREATED_BY,VIEW,VARCHAR2,256,64
A,B,ACA_ATTACH_MIGRATE_LOG,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
A,B,ACA_ATTACH_MIGRATE_LOG,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
A,B,ACA_ATTACH_MIGRATE_LOG,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
A,B,ACA_ATTACH_MIGRATE_LOG,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
A,B,ACA_AUTO_SEQ_METADATA_B,AUTO_SEQ_METADATA_ID,VIEW,NUMBER,22,0
A,B,ACA_AUTO_SEQ_METADATA_B,AUTO_SEQ_METADATA_ID,VIEW,NUMBER,22,0
A,B,ACA_AUTO_SEQ_METADATA_B,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
A,B,ACA_AUTO_SEQ_METADATA_B,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
A,B,ACA_AUTO_SEQ_METADATA_B,AUTO_SEQ_CLASS_ID,VIEW,NUMBER,22,0
A,B,ACA_AUTO_SEQ_METADATA_B,AUTO_SEQ_CLASS_ID,VIEW,NUMBER,22,0
A,B,ACA_AUTO_SEQ_METADATA_B,AUTO_SEQ_CODE,VIEW,VARCHAR2,720,180
A,B,ACA_AUTO_SEQ_METADATA_B,AUTO_SEQ_CODE,VIEW,VARCHAR2,720,180
A,B,ACA_AUTO_SEQ_METADATA_B,STARTING_NUMBER,VIEW,NUMBER,22,0
A,B,ACA_AUTO_SEQ_METADATA_B,STARTING_NUMBER,VIEW,NUMBER,22,0
A,B,ACA_AUTO_SEQ_METADATA_B,INCREMENT_BY,VIEW,NUMBER,22,0
A,B,ACA_AUTO_SEQ_METADATA_B,INCREMENT_BY,VIEW,NUMBER,22,0
A,B,ACA_AUTO_SEQ_METADATA_B,PREFIX,VIEW,VARCHAR2,80,20
A,B,ACA_AUTO_SEQ_METADATA_B,PREFIX,VIEW,VARCHAR2,80,20
A,B,ACA_AUTO_SEQ_METADATA_B,SUFFIX,VIEW,VARCHAR2,80,20
A,B,ACA_AUTO_SEQ_METADATA_B,SUFFIX,VIEW,VARCHAR2,80,20
A,B,ACA_AUTO_SEQ_METADATA_B,MAXIMUM_ATTEMPTS,VIEW,NUMBER,22,0
A,B,ACA_AUTO_SEQ_METADATA_B,MAXIMUM_ATTEMPTS,VIEW,NUMBER,22,0
A,B,ACA_AUTO_SEQ_METADATA_B,IS_SEEDED,VIEW,VARCHAR2,4,1
A,B,ACA_AUTO_SEQ_METADATA_B,IS_SEEDED,VIEW,VARCHAR2,4,1
A,B,ACA_AUTO_SEQ_METADATA_B,CREATED_BY,VIEW,VARCHAR2,256,64
A,B,ACA_AUTO_SEQ_METADATA_B,CREATED_BY,VIEW,VARCHAR2,256,64
A,B,ACA_AUTO_SEQ_METADATA_B,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
A,B,ACA_AUTO_SEQ_METADATA_B,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
A,B,ACA_AUTO_SEQ_METADATA_B,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
A,B,ACA_AUTO_SEQ_METADATA_B,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
A,B,ACA_AUTO_SEQ_METADATA_B,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
A,B,ACA_AUTO_SEQ_METADATA_B,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
A,B,ACA_AUTO_SEQ_METADATA_B,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
A,B,ACA_AUTO_SEQ_METADATA_B,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
