P_START_LETTER,P_END_LETTER,TABLE_NAME,COLUMN_NAME,OBJECT_TYPE,DATA_TYPE,DATA_LENGTH,CHAR_LENGTH
C,E,CDA_COLLAB_CHANNELS,TEAM_ID,VIEW,VARCHAR2,256,64
C,E,CDA_COLLAB_CHANNELS,DOCUMENT_URL,VIEW,VARCHAR2,4000,1024
C,E,CDA_COLLAB_CHANNELS,RELATED_ACCOUNTNAME,VIEW,VARCHAR2,512,128
C,E,CDA_COLLAB_CHANNELS,DESCRIPTION,VIEW,VARCHAR2,4000,1024
C,E,CDA_COLLAB_CHANNELS,OBJECT_NAME,VIEW,VARCHAR2,512,128
C,E,CDA_COLLAB_CHANNELS,TEAM_MEMBERS,VIEW,VARCHAR2,4000,1024
C,E,CDA_COLLAB_CHANNELS,COLLAB_ID,VIEW,VARCHAR2,256,64
C,E,CDA_COLLAB_CHANNELS,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CDA_COLLAB_CHANNELS,CREATED_BY,VIEW,VARCHAR2,256,64
C,E,CDA_COLLAB_CHANNELS,OBJECT_PUID,VIEW,VARCHAR2,256,64
C,E,CDA_COLLAB_CHANNELS,OBJECT_OWNER,VIEW,VARCHAR2,512,128
C,E,CDA_COLLAB_CHANNELS,OBJECT_TYPE,VIEW,VARCHAR2,512,128
C,E,CDA_COLLAB_CHANNELS,CHANNEL_ID,VIEW,VARCHAR2,512,128
C,E,CDA_COLLAB_CHANNELS,MS_TEAMS_WEBURL,VIEW,VARCHAR2,2048,512
C,E,CDA_COLLAB_CHANNELS,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CDA_COLLAB_CHANNELS,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
C,E,CDA_COLLAB_CHANNELS,CHANNEL_TYPE,VIEW,VARCHAR2,512,128
C,E,CDA_COLLAB_CHANNELS,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
C,E,CDA_COLLAB_CHANNELS,CHANNEL_NAME,VIEW,VARCHAR2,512,128
C,E,CDA_COLLAB_CHANNELS,COLLAB_GROUP_ID,VIEW,VARCHAR2,256,64
C,E,CDA_COLLAB_CHANNELS,OBJECT_ID,VIEW,VARCHAR2,512,128
C,E,CDA_COLLAB_CHANNELS,COLLAB_WEBURL,VIEW,VARCHAR2,2048,512
C,E,CDA_COLLAB_CHANNELS,COLLAB_NAME,VIEW,VARCHAR2,512,128
C,E,CEL_EXTERNAL_VENDORS,VENDOR_CODE,VIEW,VARCHAR2,120,30
C,E,CEL_EXTERNAL_VENDORS,ACCOUNT_TYPE_CODE,VIEW,VARCHAR2,120,30
C,E,CEL_EXTERNAL_VENDORS,POINT_VALUE,VIEW,NUMBER,22,0
C,E,CEL_EXTERNAL_VENDORS,CONTENT_ID,VIEW,VARCHAR2,120,30
C,E,CEL_EXTERNAL_VENDORS,ENABLED_FLAG,VIEW,VARCHAR2,4,1
C,E,CEL_EXTERNAL_VENDORS,WITHDRAW_POINTS_FLAG,VIEW,VARCHAR2,4,1
C,E,CEL_EXTERNAL_VENDORS,CLIENT_USERNAME,VIEW,VARCHAR2,4000,1024
C,E,CEL_EXTERNAL_VENDORS,CLIENT_SECRET,VIEW,VARCHAR2,4000,1024
C,E,CEL_EXTERNAL_VENDORS,CLIENT_KEY,VIEW,VARCHAR2,1200,300
C,E,CEL_EXTERNAL_VENDORS,VENDOR_URL1,VIEW,VARCHAR2,4000,4000
C,E,CEL_EXTERNAL_VENDORS,VENDOR_URL2,VIEW,VARCHAR2,4000,4000
C,E,CEL_EXTERNAL_VENDORS,IMAGE_URL,VIEW,VARCHAR2,4000,4000
C,E,CEL_EXTERNAL_VENDORS,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
C,E,CEL_EXTERNAL_VENDORS,CREATED_BY,VIEW,VARCHAR2,256,64
C,E,CEL_EXTERNAL_VENDORS,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_EXTERNAL_VENDORS,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
C,E,CEL_EXTERNAL_VENDORS,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_EXTERNAL_VENDORS,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
C,E,CEL_EXTERNAL_VENDORS_SEC,ACCOUNT_TYPE_CODE,VIEW,VARCHAR2,120,30
C,E,CEL_EXTERNAL_VENDORS_SEC,CLIENT_KEY,VIEW,VARCHAR2,24,6
C,E,CEL_EXTERNAL_VENDORS_SEC,CLIENT_SECRET,VIEW,VARCHAR2,24,6
C,E,CEL_EXTERNAL_VENDORS_SEC,CLIENT_USERNAME,VIEW,VARCHAR2,24,6
C,E,CEL_EXTERNAL_VENDORS_SEC,CONTENT_ID,VIEW,VARCHAR2,120,30
C,E,CEL_EXTERNAL_VENDORS_SEC,CREATED_BY,VIEW,VARCHAR2,256,64
C,E,CEL_EXTERNAL_VENDORS_SEC,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_EXTERNAL_VENDORS_SEC,ENABLED_FLAG,VIEW,VARCHAR2,4,1
C,E,CEL_EXTERNAL_VENDORS_SEC,IMAGE_URL,VIEW,VARCHAR2,4000,4000
C,E,CEL_EXTERNAL_VENDORS_SEC,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
C,E,CEL_EXTERNAL_VENDORS_SEC,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_EXTERNAL_VENDORS_SEC,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
C,E,CEL_EXTERNAL_VENDORS_SEC,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
C,E,CEL_EXTERNAL_VENDORS_SEC,POINT_VALUE,VIEW,NUMBER,22,0
C,E,CEL_EXTERNAL_VENDORS_SEC,VENDOR_CODE,VIEW,VARCHAR2,120,30
C,E,CEL_EXTERNAL_VENDORS_SEC,VENDOR_URL1,VIEW,VARCHAR2,4000,4000
C,E,CEL_EXTERNAL_VENDORS_SEC,VENDOR_URL2,VIEW,VARCHAR2,4000,4000
C,E,CEL_EXTERNAL_VENDORS_SEC,WITHDRAW_POINTS_FLAG,VIEW,VARCHAR2,4,1
C,E,CEL_FEED_COMMENTS,COMMENT_ID,VIEW,NUMBER,22,0
C,E,CEL_FEED_COMMENTS,PROGRAM_ID,VIEW,NUMBER,22,0
C,E,CEL_FEED_COMMENTS,MAIN_OBJECT_TYPE,VIEW,VARCHAR2,120,30
C,E,CEL_FEED_COMMENTS,MAIN_OBJECT_KEY,VIEW,NUMBER,22,0
C,E,CEL_FEED_COMMENTS,PARENT_OBJECT_TYPE,VIEW,VARCHAR2,120,30
C,E,CEL_FEED_COMMENTS,PARENT_OBJECT_KEY,VIEW,NUMBER,22,0
C,E,CEL_FEED_COMMENTS,OBJECT_TYPE,VIEW,VARCHAR2,120,30
C,E,CEL_FEED_COMMENTS,OBJECT_KEY,VIEW,NUMBER,22,0
C,E,CEL_FEED_COMMENTS,PERSON_ID,VIEW,NUMBER,22,0
C,E,CEL_FEED_COMMENTS,COMMENT_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_FEED_COMMENTS,COMMENTS,VIEW,VARCHAR2,4000,2000
C,E,CEL_FEED_COMMENTS,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
C,E,CEL_FEED_COMMENTS,CREATED_BY,VIEW,VARCHAR2,256,64
C,E,CEL_FEED_COMMENTS,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_FEED_COMMENTS,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
C,E,CEL_FEED_COMMENTS,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_FEED_COMMENTS,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
C,E,CEL_FEED_LIKES,LIKE_ID,VIEW,NUMBER,22,0
C,E,CEL_FEED_LIKES,PROGRAM_ID,VIEW,NUMBER,22,0
C,E,CEL_FEED_LIKES,MAIN_OBJECT_TYPE,VIEW,VARCHAR2,120,30
C,E,CEL_FEED_LIKES,MAIN_OBJECT_KEY,VIEW,NUMBER,22,0
C,E,CEL_FEED_LIKES,PARENT_OBJECT_TYPE,VIEW,VARCHAR2,120,30
C,E,CEL_FEED_LIKES,PARENT_OBJECT_KEY,VIEW,NUMBER,22,0
C,E,CEL_FEED_LIKES,OBJECT_TYPE,VIEW,VARCHAR2,120,30
C,E,CEL_FEED_LIKES,OBJECT_KEY,VIEW,NUMBER,22,0
C,E,CEL_FEED_LIKES,PERSON_ID,VIEW,NUMBER,22,0
C,E,CEL_FEED_LIKES,LIKE_TYPE,VIEW,VARCHAR2,120,30
C,E,CEL_FEED_LIKES,LIKE_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_FEED_LIKES,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
C,E,CEL_FEED_LIKES,CREATED_BY,VIEW,VARCHAR2,256,64
C,E,CEL_FEED_LIKES,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_FEED_LIKES,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
C,E,CEL_FEED_LIKES,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_FEED_LIKES,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
C,E,CEL_FEED_SUMMARY,SUMMARY_ID,VIEW,NUMBER,22,0
C,E,CEL_FEED_SUMMARY,PROGRAM_ID,VIEW,NUMBER,22,0
C,E,CEL_FEED_SUMMARY,MAIN_OBJECT_TYPE,VIEW,VARCHAR2,120,30
C,E,CEL_FEED_SUMMARY,MAIN_OBJECT_KEY,VIEW,NUMBER,22,0
C,E,CEL_FEED_SUMMARY,OBJECT_TYPE,VIEW,VARCHAR2,120,30
C,E,CEL_FEED_SUMMARY,OBJECT_KEY,VIEW,NUMBER,22,0
C,E,CEL_FEED_SUMMARY,SUMMARY_TYPE,VIEW,VARCHAR2,120,30
C,E,CEL_FEED_SUMMARY,PRIMARY_FLAG,VIEW,VARCHAR2,4,1
C,E,CEL_FEED_SUMMARY,COUNT_DIRECT,VIEW,NUMBER,22,0
C,E,CEL_FEED_SUMMARY,COUNT_ALL,VIEW,NUMBER,22,0
C,E,CEL_FEED_SUMMARY,CREATED_BY,VIEW,VARCHAR2,256,64
C,E,CEL_FEED_SUMMARY,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_FEED_SUMMARY,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
C,E,CEL_FEED_SUMMARY,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_FEED_SUMMARY,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
C,E,CEL_GLOBAL_OPTIONS,GLOBAL_OPTION_ID,VIEW,NUMBER,22,0
C,E,CEL_GLOBAL_OPTIONS,POINTS_TIME_UNIT_CODE,VIEW,VARCHAR2,120,30
C,E,CEL_GLOBAL_OPTIONS,USE_POINTS_FLAG,VIEW,VARCHAR2,4,1
C,E,CEL_GLOBAL_OPTIONS,POINTS,VIEW,NUMBER,22,0
C,E,CEL_GLOBAL_OPTIONS,POINTS_START_DATE,VIEW,DATE,7,0
C,E,CEL_GLOBAL_OPTIONS,REDEEM_POINTS_CASH_FLAG,VIEW,VARCHAR2,4,1
C,E,CEL_GLOBAL_OPTIONS,REDEEM_POINT_VALUE,VIEW,NUMBER,22,0
C,E,CEL_GLOBAL_OPTIONS,REDEEM_CURRENCY_CODE,VIEW,VARCHAR2,120,30
C,E,CEL_GLOBAL_OPTIONS,ALLOW_VISIBILITY_CHANGE_FLAG,VIEW,VARCHAR2,4,1
C,E,CEL_GLOBAL_OPTIONS,NOMINATIONS_ENABLED_FLAG,VIEW,VARCHAR2,4,1
C,E,CEL_GLOBAL_OPTIONS,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
C,E,CEL_GLOBAL_OPTIONS,CREATED_BY,VIEW,VARCHAR2,256,64
C,E,CEL_GLOBAL_OPTIONS,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_GLOBAL_OPTIONS,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
C,E,CEL_GLOBAL_OPTIONS,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_GLOBAL_OPTIONS,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
C,E,CEL_ILLUSTRATIONS_B,ILLUSTRATION_ID,VIEW,NUMBER,22,0
C,E,CEL_ILLUSTRATIONS_B,ENABLED_FLAG,VIEW,VARCHAR2,4,1
C,E,CEL_ILLUSTRATIONS_B,ILLUSTRATION,VIEW,BLOB,4000,0
C,E,CEL_ILLUSTRATIONS_B,CONTENT_ID,VIEW,VARCHAR2,120,30
C,E,CEL_ILLUSTRATIONS_B,ILLUSTRATION_URL,VIEW,VARCHAR2,4000,4000
C,E,CEL_ILLUSTRATIONS_B,ILLUSTRATION_CODE,VIEW,VARCHAR2,120,30
C,E,CEL_ILLUSTRATIONS_B,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
C,E,CEL_ILLUSTRATIONS_B,CREATED_BY,VIEW,VARCHAR2,256,64
C,E,CEL_ILLUSTRATIONS_B,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_ILLUSTRATIONS_B,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
C,E,CEL_ILLUSTRATIONS_B,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_ILLUSTRATIONS_B,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
C,E,CEL_ILLUSTRATIONS_TL,ILLUSTRATION_ID,VIEW,NUMBER,22,0
C,E,CEL_ILLUSTRATIONS_TL,ILLUSTRATION_NAME,VIEW,VARCHAR2,320,80
C,E,CEL_ILLUSTRATIONS_TL,DESCRIPTION,VIEW,VARCHAR2,960,240
C,E,CEL_ILLUSTRATIONS_TL,LANGUAGE,VIEW,VARCHAR2,16,4
C,E,CEL_ILLUSTRATIONS_TL,SOURCE_LANG,VIEW,VARCHAR2,16,4
C,E,CEL_ILLUSTRATIONS_TL,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
C,E,CEL_ILLUSTRATIONS_TL,CREATED_BY,VIEW,VARCHAR2,256,64
C,E,CEL_ILLUSTRATIONS_TL,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_ILLUSTRATIONS_TL,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
C,E,CEL_ILLUSTRATIONS_TL,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_ILLUSTRATIONS_TL,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
C,E,CEL_ILLUSTRATIONS_VL,ILLUSTRATION_ID,VIEW,NUMBER,22,0
C,E,CEL_ILLUSTRATIONS_VL,ILLUSTRATION_NAME,VIEW,VARCHAR2,320,80
C,E,CEL_ILLUSTRATIONS_VL,ENABLED_FLAG,VIEW,VARCHAR2,4,1
C,E,CEL_ILLUSTRATIONS_VL,ILLUSTRATION,VIEW,BLOB,4000,0
C,E,CEL_ILLUSTRATIONS_VL,CONTENT_ID,VIEW,VARCHAR2,120,30
C,E,CEL_ILLUSTRATIONS_VL,ILLUSTRATION_URL,VIEW,VARCHAR2,4000,4000
C,E,CEL_ILLUSTRATIONS_VL,ILLUSTRATION_CODE,VIEW,VARCHAR2,120,30
C,E,CEL_ILLUSTRATIONS_VL,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
C,E,CEL_ILLUSTRATIONS_VL,CREATED_BY,VIEW,VARCHAR2,256,64
C,E,CEL_ILLUSTRATIONS_VL,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_ILLUSTRATIONS_VL,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
C,E,CEL_ILLUSTRATIONS_VL,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_ILLUSTRATIONS_VL,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
C,E,CEL_ILLUSTRATIONS_VL,DESCRIPTION,VIEW,VARCHAR2,960,240
C,E,CEL_NOMINATIONS,NOMINATION_ID,VIEW,NUMBER,22,0
C,E,CEL_NOMINATIONS,PROGRAM_ID,VIEW,NUMBER,22,0
C,E,CEL_NOMINATIONS,PERSON_ID,VIEW,NUMBER,22,0
C,E,CEL_NOMINATIONS,FROM_PERSON_ID,VIEW,NUMBER,22,0
C,E,CEL_NOMINATIONS,ASSIGNMENT_ID,VIEW,NUMBER,22,0
C,E,CEL_NOMINATIONS,FROM_ASSIGNMENT_ID,VIEW,NUMBER,22,0
C,E,CEL_NOMINATIONS,NOMINATION_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_NOMINATIONS,STATUS_CODE,VIEW,VARCHAR2,120,30
C,E,CEL_NOMINATIONS,NOMINEE_COUNT,VIEW,NUMBER,22,0
C,E,CEL_NOMINATIONS,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
C,E,CEL_NOMINATIONS,CREATED_BY,VIEW,VARCHAR2,256,64
C,E,CEL_NOMINATIONS,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_NOMINATIONS,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
C,E,CEL_NOMINATIONS,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_NOMINATIONS,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
C,E,CEL_NOMINATIONS,QUESTIONNAIRE_ID,VIEW,NUMBER,22,0
C,E,CEL_NOMINATIONS,QSTNR_VERSION_NUM,VIEW,NUMBER,22,0
C,E,CEL_NOMINATIONS,QSTNR_PARTICIPANT_ID,VIEW,NUMBER,22,0
C,E,CEL_NOMINEES,NOMINEE_ID,VIEW,NUMBER,22,0
C,E,CEL_NOMINEES,NOMINATION_ID,VIEW,NUMBER,22,0
C,E,CEL_NOMINEES,PERSON_ID,VIEW,NUMBER,22,0
C,E,CEL_NOMINEES,ASSIGNMENT_ID,VIEW,NUMBER,22,0
C,E,CEL_NOMINEES,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
C,E,CEL_NOMINEES,CREATED_BY,VIEW,VARCHAR2,256,64
C,E,CEL_NOMINEES,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_NOMINEES,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
C,E,CEL_NOMINEES,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
C,E,CEL_NOMINEES,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
C,E,CEL_NOTIFICATIONS,NOTIFICATION_ID,VIEW,NUMBER,22,0
