P_START_LETTER,P_END_LETTER,TABLE_NAME,COLUMN_NAME,OBJECT_TYPE,DATA_TYPE,DATA_LENGTH,CHAR_LENGTH
F,G,FAI_AGENT_PREFERENCES,AGENT_PREFERENCE_ID,VIEW,NUMBER,22,0
F,G,FAI_AGENT_PREFERENCES,USER_ID,VIEW,VARCHAR2,800,200
F,G,FAI_AGENT_PREFERENCES,PREFERENCE_NAME,VIEW,VARCHAR2,800,200
F,G,FAI_AGENT_PREFERENCES,PREFERENCE_JSON_VALUE,VIEW,CLOB,4000,0
F,G,FAI_AGENT_PREFERENCES,UPDATED_DATE,VIEW,TIMESTAMP(6),11,0
F,G,FAI_AGENT_PREFERENCES,CREATED_BY,VIEW,VARCHAR2,256,64
F,G,FAI_AGENT_PREFERENCES,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
F,G,FAI_AGENT_PREFERENCES,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
F,G,FAI_AGENT_PREFERENCES,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
F,G,FAI_AGENT_PREFERENCES,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
F,G,FAI_AGENT_PREFERENCES,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
F,G,FAI_AGENT_TAGS,TAG_ID,VIEW,NUMBER,22,0
F,G,FAI_AGENT_TAGS,TAG_ID,VIEW,NUMBER,22,0
F,G,FAI_AGENT_TAGS,TAG_NAME,VIEW,VARCHAR2,320,80
F,G,FAI_AGENT_TAGS,TAG_NAME,VIEW,VARCHAR2,320,80
F,G,FAI_AGENT_TAGS,TAG_CODE,VIEW,VARCHAR2,320,80
F,G,FAI_AGENT_TAGS,TAG_CODE,VIEW,VARCHAR2,320,80
F,G,FAI_AGENT_TAGS,SEED_DATA_SOURCE,VIEW,VARCHAR2,2048,512
F,G,FAI_AGENT_TAGS,SEED_DATA_SOURCE,VIEW,VARCHAR2,2048,512
F,G,FAI_AGENT_TAGS,ORA_SEED_SET1,VIEW,VARCHAR2,4,1
F,G,FAI_AGENT_TAGS,ORA_SEED_SET1,VIEW,VARCHAR2,4,1
F,G,FAI_AGENT_TAGS,ORA_SEED_SET2,VIEW,VARCHAR2,4,1
F,G,FAI_AGENT_TAGS,ORA_SEED_SET2,VIEW,VARCHAR2,4,1
F,G,FAI_AGENT_TAGS,MODULE_ID,VIEW,VARCHAR2,128,32
F,G,FAI_AGENT_TAGS,MODULE_ID,VIEW,VARCHAR2,128,32
F,G,FAI_AGENT_TAGS,CREATED_BY,VIEW,VARCHAR2,256,64
F,G,FAI_AGENT_TAGS,CREATED_BY,VIEW,VARCHAR2,256,64
F,G,FAI_AGENT_TAGS,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
F,G,FAI_AGENT_TAGS,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
F,G,FAI_AGENT_TAGS,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
F,G,FAI_AGENT_TAGS,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
F,G,FAI_AGENT_TAGS,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
F,G,FAI_AGENT_TAGS,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
F,G,FAI_AGENT_TAGS,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
F,G,FAI_AGENT_TAGS,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
F,G,FAI_AGENT_TAGS,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
F,G,FAI_AGENT_TAGS,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
