P_START_LETTER,P_END_LETTER,TABLE_NAME,COLUMN_NAME,OBJECT_TYPE,DATA_TYPE,DATA_LENGTH,CHAR_LENGTH
L,O,LOY_ACRL_ITM,LOY_ACRL_ITM_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM,ACTION_NOTE,VIEW,VARCHAR2,4000,1000
L,O,LOY_ACRL_ITM,CREATED_BY,VIEW,VARCHAR2,256,64
L,O,LOY_ACRL_ITM,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
L,O,LOY_ACRL_ITM,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
L,O,LOY_ACRL_ITM,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM,CONFLICT_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM,ITEM_NUM,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM,ACCRUALED_VALUE,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM,EXPIRED_VALUE,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM,ATTRIB_DEFN_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM,COMMENTS,VIEW,VARCHAR2,1000,250
L,O,LOY_ACRL_ITM,EXPIRATION_DT,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM,MEMBER_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM,ORDER_NUM,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM,POINT_BLK_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM,PT_BLK_DEBIT_FLAG,VIEW,VARCHAR2,4,1
L,O,LOY_ACRL_ITM,PROCESS_DT,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM,PROMO_BUCKET_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM,PROMO_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM,PRTNR_PT_DEBT_QTY,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM,PT_SUB_TYPE_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM,QUALIFYING_FLAG,VIEW,VARCHAR2,4,1
L,O,LOY_ACRL_ITM,REPAID_FLAG,VIEW,VARCHAR2,4,1
L,O,LOY_ACRL_ITM,RET_EFF_DT,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM,STATUS_CODE,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM,TXN_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM,TYPE_CODE,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM,USED_VALUE,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,BATCH_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,IMPORT_STATUS_CODE,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_INT,INTERFACE_ROW_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,ACTION_CODE,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_INT,INTERNAL_ACTION_CODE,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_INT,FILE_RECORD_NUM,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,INTERNAL_ACRL_ITM_OVN,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,FILE_NAME_SYSTASK_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,REQUEST_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,CREATED_BY,VIEW,VARCHAR2,256,64
L,O,LOY_ACRL_ITM_INT,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
L,O,LOY_ACRL_ITM_INT,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
L,O,LOY_ACRL_ITM_INT,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM_INT,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM_INT,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,LOY_ACRL_ITM_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,ACTION_NOTE,VIEW,VARCHAR2,4000,1000
L,O,LOY_ACRL_ITM_INT,ITEM_NUM,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_INT,ACCRUALED_VALUE,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,EXPIRED_VALUE,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,ATTRIB_DEFN_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,PROGRAM_NAME,VIEW,VARCHAR2,200,50
L,O,LOY_ACRL_ITM_INT,INTERNAL_NAME,VIEW,VARCHAR2,300,75
L,O,LOY_ACRL_ITM_INT,PROMO_NAME,VIEW,VARCHAR2,200,50
L,O,LOY_ACRL_ITM_INT,COMMENTS,VIEW,VARCHAR2,1000,250
L,O,LOY_ACRL_ITM_INT,EXPIRATION_DT,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM_INT,MEMBER_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,MEM_NUM,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_INT,ORDER_NUM,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_INT,POINT_BLK_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,POINT_BLOCK_NUMBER,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_INT,PT_BLK_DEBIT_FLAG,VIEW,VARCHAR2,4,1
L,O,LOY_ACRL_ITM_INT,PROCESS_DT,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM_INT,PROMO_BUCKET_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,BUCKET_UID,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_INT,PROMO_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,PRTNR_PT_DEBT_QTY,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,PT_SUB_TYPE_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,PTSUBTYPE_NAME,VIEW,VARCHAR2,200,50
L,O,LOY_ACRL_ITM_INT,QUALIFYING_FLAG,VIEW,VARCHAR2,4,1
L,O,LOY_ACRL_ITM_INT,REPAID_FLAG,VIEW,VARCHAR2,4,1
L,O,LOY_ACRL_ITM_INT,RET_EFF_DT,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM_INT,STATUS_CODE,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_INT,TXN_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,TXN_NUM,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_INT,TYPE_CODE,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_INT,USED_VALUE,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_NP,LOY_ACRL_ITM_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_NP,ACTION_NOTE,VIEW,VARCHAR2,4000,1000
L,O,LOY_ACRL_ITM_NP,CREATED_BY,VIEW,VARCHAR2,256,64
L,O,LOY_ACRL_ITM_NP,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
L,O,LOY_ACRL_ITM_NP,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
L,O,LOY_ACRL_ITM_NP,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM_NP,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM_NP,CONFLICT_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_NP,ITEM_NUM,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_NP,ACCRUALED_VALUE,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_NP,EXPIRED_VALUE,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_NP,ATTRIB_DEFN_ID,VIEW,NUMBER,22,0
