TABLE_NAME,COLUMN_NAME,OBJECT_TYPE,DATA_TYPE,DATA_LENGTH,CHAR_LENGTH
ANC_ABSENCE_AGREEMENTS_F,ABSENCE_AGREEMENT_ID,VIEW,NUMBER,22,0
ANC_ABSENCE_AGREEMENTS_F,EVENT_TYPE_CD,VIEW,VARCHAR2,120,30
ANC_ABSENCE_AGREEMENTS_F,BASE_NAME,VIEW,VARCHAR2,960,240
ANC_ABSENCE_AGREEMENTS_F,ENTERPRISE_ID,VIEW,NUMBER,22,0
ANC_ABSENCE_AGREEMENTS_F,LEGISLATION_CODE,VIEW,VARCHAR2,120,30
ANC_ABSENCE_AGREEMENTS_F,EFFECTIVE_START_DATE,VIEW,DATE,7,0
ANC_ABSENCE_AGREEMENTS_F,EFFECTIVE_END_DATE,VIEW,DATE,7,0
ANC_ABSENCE_AGREEMENTS_F,ANC_ABSENCE_AGREEMENTS_F_ALTCD,VIEW,VARCHAR2,960,240
ANC_ABSENCE_AGREEMENTS_F,MANAGEMENT_TYPE_CD,VIEW,VARCHAR2,960,240
ANC_ABSENCE_AGREEMENTS_F,AGREEMENT_PATTERN_CD,VIEW,VARCHAR2,120,30
ANC_ABSENCE_AGREEMENTS_F,STATUS,VIEW,VARCHAR2,960,240
ANC_ABSENCE_AGREEMENTS_F,PARTNER_RULE_CD,VIEW,VARCHAR2,120,30
ANC_ABSENCE_AGREEMENTS_F,ABSENCE_TYPE_ID,VIEW,NUMBER,22,0
ANC_ABSENCE_AGREEMENTS_F,ELIGI_PROFILE_ID,VIEW,NUMBER,22,0
ANC_ABSENCE_AGREEMENTS_F,ELIGI_OVERRIDE_CD,VIEW,VARCHAR2,120,30
ANC_ABSENCE_AGREEMENTS_F,LEG_GROUPING_CD,VIEW,VARCHAR2,120,30
ANC_ABSENCE_AGREEMENTS_F,ELIGI_FORMULA_ID,VIEW,NUMBER,22,0
ANC_ABSENCE_AGREEMENTS_F,ELIGI_RULE_CD,VIEW,VARCHAR2,120,30
ANC_ABSENCE_AGREEMENTS_F,DENIAL_REASON_CD,VIEW,VARCHAR2,4000,4000
ANC_ABSENCE_AGREEMENTS_F,WITHDRAW_REASON_CD,VIEW,VARCHAR2,4000,4000
ANC_ABSENCE_AGREEMENTS_F,VALIDATION_FORMULA_ID,VIEW,NUMBER,22,0
ANC_ABSENCE_AGREEMENTS_F,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
ANC_ABSENCE_AGREEMENTS_F,CREATED_BY,VIEW,VARCHAR2,256,64
ANC_ABSENCE_AGREEMENTS_F,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
ANC_ABSENCE_AGREEMENTS_F,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
ANC_ABSENCE_AGREEMENTS_F,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
