P_START_LETTER,P_END_LETTER,TABLE_NAME,COLUMN_NAME,OBJECT_TYPE,DATA_TYPE,DATA_LENGTH,CHAR_LENGTH
P,P,PATCH_ARTIFACT,ID,VIEW,NUMBER,22,0
P,P,PATCH_ARTIFACT,APP_ID,VIEW,VARCHAR2,2048,512
P,P,PATCH_ARTIFACT,TYPE,VIEW,VARCHAR2,1024,256
P,P,PATCH_ARTIFACT,CHG_TYPE,VIEW,VARCHAR2,1024,256
P,P,PATCH_ARTIFACT,GUID,VIEW,VARCHAR2,4000,4000
P,P,PATCH_ARTIFACT,NAME,VIEW,VARCHAR2,2048,512
P,P,PATCH_ARTIFACT,REASON,VIEW,VARCHAR2,4000,1024
P,P,PATCH_ARTIFACT,DEFAULT_RESOLUTION,VIEW,VARCHAR2,128,32
P,P,PATCH_ARTIFACT,CHOOSEN_RESOLUTION,VIEW,VARCHAR2,128,32
P,P,PATCH_ARTIFACT,PATCH_RUN_ID,VIEW,NUMBER,22,0
P,P,PATCH_ARTIFACT,DEP_FLAG,VIEW,CHAR,4,1
P,P,PATCH_ARTIFACT,CREATED_BY,VIEW,VARCHAR2,4000,4000
P,P,PATCH_ARTIFACT,CREATED_ON,VIEW,DATE,7,0
P,P,PATCH_ARTIFACT,UPDATED_BY,VIEW,VARCHAR2,4000,4000
P,P,PATCH_ARTIFACT,UPDATED_ON,VIEW,DATE,7,0
P,P,PATCH_ARTIFACT_CHG_STATUS,APP_ID,VIEW,VARCHAR2,2048,512
P,P,PATCH_ARTIFACT_CHG_STATUS,TYPE,VIEW,VARCHAR2,1024,256
P,P,PATCH_ARTIFACT_CHG_STATUS,CHANGE_TYPE,VIEW,VARCHAR2,36,9
P,P,PATCH_ARTIFACT_CHG_STATUS,TOTAL_COUNT,VIEW,NUMBER,22,0
P,P,PATCH_ARTIFACT_DEPENDENCY,ARTIFACT_ID,VIEW,NUMBER,22,0
P,P,PATCH_ARTIFACT_DEPENDENCY,GUID,VIEW,VARCHAR2,4000,4000
P,P,PATCH_ARTIFACT_DEP_DETAILS,ARTIFACT_ID,VIEW,NUMBER,22,0
P,P,PATCH_ARTIFACT_DEP_DETAILS,GUID,VIEW,VARCHAR2,4000,4000
P,P,PATCH_ARTIFACT_DEP_DETAILS,APP_ID,VIEW,VARCHAR2,2048,512
P,P,PATCH_ARTIFACT_DEP_DETAILS,DEP_ID,VIEW,NUMBER,22,0
P,P,PATCH_ARTIFACT_DEP_DETAILS,DEP_GUID,VIEW,VARCHAR2,4000,4000
P,P,PATCH_ARTIFACT_DEP_DETAILS,DEP_REASON,VIEW,VARCHAR2,4000,1024
P,P,PATCH_ARTIFACT_DEP_DETAILS,DEP_TYPE,VIEW,VARCHAR2,1024,256
P,P,PATCH_ARTIFACT_DEP_DETAILS,DEP_NAME,VIEW,VARCHAR2,2048,512
P,P,PATCH_ARTIFACT_DEP_DETAILS,DEP_CHOSEN_RESOLUTION,VIEW,VARCHAR2,128,32
P,P,PATCH_ARTIFACT_DEP_DETAILS,DEP_DEFAULT_RESOLUTION,VIEW,VARCHAR2,128,32
P,P,PATCH_ARTIFACT_STATUS,APP_ID,VIEW,VARCHAR2,2048,512
P,P,PATCH_ARTIFACT_STATUS,TYPE,VIEW,VARCHAR2,1024,256
P,P,PATCH_ARTIFACT_STATUS,TOTAL_COUNT,VIEW,NUMBER,22,0
P,P,PATCH_RUN,ID,VIEW,NUMBER,22,0
P,P,PATCH_RUN,APP_ID,VIEW,VARCHAR2,2048,512
P,P,PATCH_RUN,APP_VERSION,VIEW,VARCHAR2,2048,512
P,P,PATCH_RUN,BASE_FILE_LOC,VIEW,VARCHAR2,4000,4000
P,P,PATCH_RUN,PATCH_FILE_LOC,VIEW,VARCHAR2,4000,4000
