P_START_LETTER,P_END_LETTER,TABLE_NAME,COLUMN_NAME,OBJECT_TYPE,DATA_TYPE,DATA_LENGTH,CHAR_LENGTH
T,Z,TMP_HISTOGRAM_CREATED,CUSTOM_NAME,VIEW,VARCHAR2,10,10
T,Z,UER_EXTERNAL_REFERENCES,REFERENCE_ID,VIEW,NUMBER,22,0
T,Z,UER_EXTERNAL_REFERENCES,REFERENCE_NUMBER,VIEW,VARCHAR2,120,30
T,Z,UER_EXTERNAL_REFERENCES,OBJECT_NUMBER,VIEW,VARCHAR2,1200,300
T,Z,UER_EXTERNAL_REFERENCES,CHILD_OBJECT_NUMBER,VIEW,VARCHAR2,1200,300
T,Z,UER_EXTERNAL_REFERENCES,ULTIMATE_CHILD_OBJECT_NUMBER,VIEW,VARCHAR2,1200,300
T,Z,UER_EXTERNAL_REFERENCES,OBJECT_TYPE,VIEW,VARCHAR2,120,30
T,Z,UER_EXTERNAL_REFERENCES,CHILD_OBJECT_TYPE,VIEW,VARCHAR2,120,30
T,Z,UER_EXTERNAL_REFERENCES,ULTIMATE_CHILD_OBJECT_TYPE,VIEW,VARCHAR2,120,30
T,Z,UER_EXTERNAL_REFERENCES,CIS_ENTITY_ID,VIEW,VARCHAR2,1200,300
T,Z,UER_EXTERNAL_REFERENCES,CIS_ENTITY_TYPE,VIEW,VARCHAR2,120,30
T,Z,UER_EXTERNAL_REFERENCES,CIS_PARENT_ENTITY_ID,VIEW,VARCHAR2,1200,300
T,Z,UER_EXTERNAL_REFERENCES,CIS_PARENT_ENTITY_TYPE,VIEW,VARCHAR2,120,30
T,Z,UER_EXTERNAL_REFERENCES,ADDITIONAL_FIELD1,VIEW,VARCHAR2,1200,300
T,Z,UER_EXTERNAL_REFERENCES,ADDITIONAL_FIELD2,VIEW,VARCHAR2,1200,300
T,Z,UER_EXTERNAL_REFERENCES,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
T,Z,UER_EXTERNAL_REFERENCES,CREATED_BY,VIEW,VARCHAR2,256,64
T,Z,UER_EXTERNAL_REFERENCES,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
T,Z,UER_EXTERNAL_REFERENCES,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
T,Z,UER_EXTERNAL_REFERENCES,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
T,Z,UER_EXTERNAL_REFERENCES,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
T,Z,UER_INDUSTRIES_CLASS,INDUSTRIES_CLASS_ID,VIEW,NUMBER,22,0
T,Z,UER_INDUSTRIES_CLASS,INDUSTRIES_CLASS_ID,VIEW,NUMBER,22,0
T,Z,UER_INDUSTRIES_CLASS,INDUSTRIES_CLASS_NUMBER,VIEW,VARCHAR2,120,30
T,Z,UER_INDUSTRIES_CLASS,INDUSTRIES_CLASS_NUMBER,VIEW,VARCHAR2,120,30
T,Z,UER_INDUSTRIES_CLASS,INDUSTRIES_CLASS_TYPE,VIEW,VARCHAR2,120,30
T,Z,UER_INDUSTRIES_CLASS,INDUSTRIES_CLASS_TYPE,VIEW,VARCHAR2,120,30
T,Z,UER_INDUSTRIES_CLASS,PROPERTY_NAME,VIEW,VARCHAR2,120,30
T,Z,UER_INDUSTRIES_CLASS,PROPERTY_NAME,VIEW,VARCHAR2,120,30
T,Z,UER_INDUSTRIES_CLASS,PROPERTY_TYPE,VIEW,VARCHAR2,40,10
T,Z,UER_INDUSTRIES_CLASS,PROPERTY_TYPE,VIEW,VARCHAR2,40,10
T,Z,UER_INDUSTRIES_CLASS,REF_TYPE,VIEW,VARCHAR2,120,30
T,Z,UER_INDUSTRIES_CLASS,REF_TYPE,VIEW,VARCHAR2,120,30
T,Z,UER_INDUSTRIES_CLASS,REQUIRED_FLAG,VIEW,VARCHAR2,4,1
